INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II001', 'GR001', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II047', 'GR033', 'MI025');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II048', 'GR034', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II049', 'GR035', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II050', 'GR035', 'MI019');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II051', 'GR036', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II052', 'GR037', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II053', 'GR038', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II054', 'GR039', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II055', 'GR040', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II056', 'GR041', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II057', 'GR042', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II058', 'GR042', 'MI019');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II059', 'GR043', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II060', 'GR044', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II061', 'GR045', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II062', 'GR046', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II063', 'GR047', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II064', 'GR047', 'MI031');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II065', 'GR048', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II066', 'GR049', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II067', 'GR050', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II068', 'GR051', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II069', 'GR052', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II070', 'GR053', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II071', 'GR053', 'MI025');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II072', 'GR054', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II073', 'GR055', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II074', 'GR056', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II075', 'GR057', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II076', 'GR058', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II077', 'GR059', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II078', 'GR060', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II079', 'GR061', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II080', 'GR062', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II081', 'GR063', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II082', 'GR064', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II083', 'GR065', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II084', 'GR066', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II085', 'GR067', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II086', 'GR068', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II087', 'GR069', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II088', 'GR070', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II089', 'GR071', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II090', 'GR072', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II091', 'GR073', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II092', 'GR074', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II093', 'GR075', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II094', 'GR076', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II095', 'GR077', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II096', 'GR078', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II097', 'GR079', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II098', 'GR080', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II099', 'GR051', 'MI051');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II100', 'GR052', 'MI052');
